resultId,raceId,driverId,grid,statusId,error_catagory,circuitId,turns,race_laps,full_throttle_percentage,driver_error_rate,constructor_error_rate,circuit_error_rate,label
109,23,1,3,1,Finished,6,19,78,0.34,0.009615385,0.155893536,0.160535117,1
110,23,9,5,1,Finished,6,19,78,0.34,0.026315789,0.1,0.160535117,1
111,23,13,1,1,Finished,6,19,78,0.34,0.019685039,0.072243346,0.160535117,1
112,23,17,9,1,Finished,6,19,78,0.34,0.010869565,0.130612245,0.160535117,1
113,23,20,19,1,Finished,6,19,78,0.34,0.010050251,0.181415929,0.160535117,1
114,23,22,14,1,Finished,6,19,78,0.34,0.006896552,0.141509434,0.160535117,1
116,23,5,4,1,Finished,6,19,78,0.34,0.017857143,0.155893536,0.160535117,1
117,23,8,2,1,Finished,6,19,78,0.34,0.00896861,0.072243346,0.160535117,1
118,23,4,7,11,Finished,6,19,78,0.34,0.011538462,0.137096774,0.160535117,1
119,23,18,11,11,Finished,6,19,78,0.34,0.020661157,0.141509434,0.160535117,0
120,23,10,10,11,Finished,6,19,78,0.34,0.021505376,0.146226415,0.160535117,0
121,23,15,8,11,Finished,6,19,78,0.34,0.013986014,0.146226415,0.160535117,0
122,23,2,12,14,Finished,6,19,78,0.34,0.016949153,0.1,0.160535117,0
123,23,16,18,4,Track,6,19,78,0.34,0.0234375,0.086614173,0.160535117,0
124,23,3,6,3,Track,6,19,78,0.34,0.004854369,0.131428571,0.160535117,0
125,23,12,17,3,Track,6,19,78,0.34,0.107142857,0.137096774,0.160535117,0
126,23,21,20,6,Constructor,6,19,78,0.34,0.056074766,0.086614173,0.160535117,0
127,23,14,15,3,Track,6,19,78,0.34,0.011111111,0.130612245,0.160535117,0
128,23,7,16,4,Track,6,19,78,0.34,0.037037037,0.181415929,0.160535117,0
129,24,9,2,1,Finished,7,14,70,0.76,0.026315789,0.1,0.106382979,1
130,24,2,8,1,Finished,7,14,70,0.76,0.016949153,0.1,0.106382979,1
131,24,14,13,1,Finished,7,14,70,0.76,0.011111111,0.130612245,0.106382979,1
132,24,10,11,1,Finished,7,14,70,0.76,0.021505376,0.146226415,0.106382979,1
133,24,13,6,1,Finished,7,14,70,0.76,0.019685039,0.072243346,0.106382979,1
134,24,15,14,1,Finished,7,14,70,0.76,0.013986014,0.146226415,0.106382979,1
135,24,22,9,1,Finished,7,14,70,0.76,0.006896552,0.141509434,0.106382979,1
136,24,20,19,1,Finished,7,14,70,0.76,0.010050251,0.181415929,0.106382979,1
137,24,5,7,1,Finished,7,14,70,0.76,0.017857143,0.155893536,0.106382979,1
138,24,3,5,1,Finished,7,14,70,0.76,0.004854369,0.131428571,0.106382979,1
139,24,18,20,1,Finished,7,14,70,0.76,0.020661157,0.141509434,0.106382979,0
140,24,17,10,1,Finished,7,14,70,0.76,0.010869565,0.130612245,0.106382979,0
141,24,7,18,11,Finished,7,14,70,0.76,0.037037037,0.181415929,0.106382979,0
142,24,21,17,20,Driver,7,14,70,0.76,0.056074766,0.086614173,0.106382979,0
144,24,4,4,20,Driver,7,14,70,0.76,0.011538462,0.137096774,0.106382979,0
145,24,12,15,23,Constructor,7,14,70,0.76,0.107142857,0.137096774,0.106382979,0
146,24,8,3,4,Track,7,14,70,0.76,0.00896861,0.072243346,0.106382979,0
147,24,1,1,4,Track,7,14,70,0.76,0.009615385,0.155893536,0.106382979,0
148,24,16,16,6,Constructor,7,14,70,0.76,0.0234375,0.086614173,0.106382979,0
149,25,13,2,1,Finished,8,17,70,0.65,0.019685039,0.072243346,0.038461538,1
150,25,8,1,1,Finished,8,17,70,0.65,0.00896861,0.072243346,0.038461538,1
151,25,15,4,1,Finished,8,17,70,0.65,0.013986014,0.146226415,0.038461538,1
152,25,5,10,1,Finished,8,17,70,0.65,0.017857143,0.155893536,0.038461538,1
153,25,9,5,1,Finished,8,17,70,0.65,0.026315789,0.1,0.038461538,1
154,25,17,6,1,Finished,8,17,70,0.65,0.010869565,0.130612245,0.038461538,1
155,25,12,9,1,Finished,8,17,70,0.65,0.107142857,0.137096774,0.038461538,1
