,constructorId,constructorRef,Constructor_name,nationality,constructor_url,raceId,points,year,round,circuitId,grand_prix_name,date,race_url
10548,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,774,8.0,1958,10,14,Italian Grand Prix,1958-09-07,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
10549,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,773,6.0,1958,9,59,Portuguese Grand Prix,1958-08-24,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
10588,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,767,6.0,1958,3,39,Dutch Grand Prix,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
10547,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,774,0.0,1958,10,14,Italian Grand Prix,1958-09-07,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
10546,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,774,2.0,1958,10,14,Italian Grand Prix,1958-09-07,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
10544,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,774,0.0,1958,10,14,Italian Grand Prix,1958-09-07,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
10543,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,774,6.0,1958,10,14,Italian Grand Prix,1958-09-07,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
10542,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,775,9.0,1958,11,64,Moroccan Grand Prix,1958-10-19,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
10541,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,775,0.0,1958,11,64,Moroccan Grand Prix,1958-10-19,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
10540,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,775,0.0,1958,11,64,Moroccan Grand Prix,1958-10-19,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
10539,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,775,5.0,1958,11,64,Moroccan Grand Prix,1958-10-19,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
10538,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,775,0.0,1958,11,64,Moroccan Grand Prix,1958-10-19,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
10537,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,775,10.0,1958,11,64,Moroccan Grand Prix,1958-10-19,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
10551,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,773,3.0,1958,9,59,Portuguese Grand Prix,1958-08-24,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
10603,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,765,3.0,1958,1,25,Argentine Grand Prix,1958-01-19,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
10587,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,767,0.0,1958,3,39,Dutch Grand Prix,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
10545,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,774,0.0,1958,10,14,Italian Grand Prix,1958-09-07,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
10560,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,772,0.0,1958,8,20,German Grand Prix,1958-08-03,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
10557,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,772,0.0,1958,8,20,German Grand Prix,1958-08-03,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
10558,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,772,6.0,1958,8,20,German Grand Prix,1958-08-03,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
