year,driverRef,name,clusters
2015,verstappen,Brazilian Grand Prix,3
2016,sainz,Belgian Grand Prix,2
2016,sainz,Hungarian Grand Prix,1
2015,verstappen,Bahrain Grand Prix,2
2015,sainz,Bahrain Grand Prix,2
2015,verstappen,Hungarian Grand Prix,5
2016,kvyat,Belgian Grand Prix,2
2016,verstappen,Russian Grand Prix,3
2016,sainz,Russian Grand Prix,1
2016,kvyat,Azerbaijan Grand Prix,5
2016,sainz,Azerbaijan Grand Prix,5
2016,verstappen,Bahrain Grand Prix,1
2015,sainz,Belgian Grand Prix,3
2016,sainz,Bahrain Grand Prix,3
2015,verstappen,Belgian Grand Prix,1
2015,verstappen,Italian Grand Prix,3
2016,sainz,Mexican Grand Prix,5
2016,sainz,United States Grand Prix,4
2015,verstappen,Chinese Grand Prix,1
2016,sainz,Italian Grand Prix,2
2015,sainz,Italian Grand Prix,3
2016,sainz,Chinese Grand Prix,3
2016,verstappen,Chinese Grand Prix,2
2015,sainz,Chinese Grand Prix,2
2016,kvyat,United States Grand Prix,1
2016,kvyat,Italian Grand Prix,4
2015,sainz,Australian Grand Prix,1
2015,verstappen,Australian Grand Prix,2
2016,bottas,Azerbaijan Grand Prix,1
2016,massa,Russian Grand Prix,1
2015,bottas,Italian Grand Prix,1
2015,bottas,Belgian Grand Prix,3
2016,bottas,Russian Grand Prix,1
2015,massa,Italian Grand Prix,1
2016,massa,Azerbaijan Grand Prix,4
2015,massa,Hungarian Grand Prix,1
2016,bottas,Chinese Grand Prix,3
2015,massa,Mexican Grand Prix,4
2015,bottas,Brazilian Grand Prix,2
2015,bottas,Mexican Grand Prix,4
2016,massa,Chinese Grand Prix,2
2015,massa,United States Grand Prix,2
2015,bottas,Hungarian Grand Prix,3
2016,massa,Australian Grand Prix,1
2015,massa,Belgian Grand Prix,1
2015,massa,Brazilian Grand Prix,1
2016,massa,Hungarian Grand Prix,2
2016,bottas,Mexican Grand Prix,5
2016,massa,Bahrain Grand Prix,1
2016,bottas,Hungarian Grand Prix,1
2015,bottas,United States Grand Prix,2
2016,bottas,United States Grand Prix,3
2016,massa,Belgian Grand Prix,1
2016,bottas,Australian Grand Prix,1
2015,massa,Chinese Grand Prix,3
2015,massa,Bahrain Grand Prix,1
2015,bottas,Chinese Grand Prix,3
2016,bottas,Belgian Grand Prix,1
2016,massa,United States Grand Prix,3
2015,bottas,Bahrain Grand Prix,1
2016,massa,Italian Grand Prix,4
2016,massa,Mexican Grand Prix,5
2016,bottas,Italian Grand Prix,3
2015,massa,Australian Grand Prix,1
2016,bottas,Bahrain Grand Prix,1
2015,raikkonen,Japanese Grand Prix,3
2016,raikkonen,British Grand Prix,2
2016,vettel,British Grand Prix,2
2015,raikkonen,Malaysian Grand Prix,2
2016,raikkonen,Malaysian Grand Prix,4
2015,vettel,Japanese Grand Prix,3
2016,vettel,Japanese Grand Prix,4
2016,raikkonen,Brazilian Grand Prix,1
2016,vettel,Brazilian Grand Prix,1
2016,raikkonen,Japanese Grand Prix,1
2015,vettel,Malaysian Grand Prix,2
2015,vettel,British Grand Prix,2
2015,raikkonen,British Grand Prix,2
2015,raikkonen,Spanish Grand Prix,1
2015,vettel,Spanish Grand Prix,2
2016,vettel,Spanish Grand Prix,3
2016,raikkonen,Spanish Grand Prix,1
2016,perez,Spanish Grand Prix,1
2016,hulkenberg,Spanish Grand Prix,2
2015,hulkenberg,British Grand Prix,2
2016,perez,Japanese Grand Prix,4
2015,perez,British Grand Prix,2
2016,hulkenberg,Malaysian Grand Prix,1
2016,hulkenberg,Brazilian Grand Prix,1
2015,perez,Spanish Grand Prix,1
2016,perez,Malaysian Grand Prix,1
2015,perez,Malaysian Grand Prix,1
2015,perez,Japanese Grand Prix,1
2016,perez,Brazilian Grand Prix,1
2016,hulkenberg,Japanese Grand Prix,4
2015,hulkenberg,Spanish Grand Prix,1
2015,hulkenberg,Japanese Grand Prix,3
2016,perez,British Grand Prix,2
2015,hulkenberg,Malaysian Grand Prix,2
2016,hulkenberg,British Grand Prix,2
2016,gutierrez,Brazilian Grand Prix,1
2016,gutierrez,Spanish Grand Prix,2
2016,grosjean,Spanish Grand Prix,2
2016,gutierrez,Japanese Grand Prix,1
2016,gutierrez,Malaysian Grand Prix,2
2016,gutierrez,British Grand Prix,2
2016,grosjean,British Grand Prix,1
2016,grosjean,Malaysian Grand Prix,2
2016,grosjean,Japanese Grand Prix,1
2015,maldonado,Malaysian Grand Prix,2
2015,maldonado,Spanish Grand Prix,1
2015,grosjean,Japanese Grand Prix,2
2015,grosjean,Spanish Grand Prix,2
2015,grosjean,Malaysian Grand Prix,2
2015,maldonado,Japanese Grand Prix,2
2016,wehrlein,Brazilian Grand Prix,1
2016,ocon,Brazilian Grand Prix,1
2016,wehrlein,Spanish Grand Prix,1
2016,ocon,Malaysian Grand Prix,4
2016,haryanto,British Grand Prix,1
2016,wehrlein,Malaysian Grand Prix,4
2016,haryanto,Spanish Grand Prix,4
2016,wehrlein,British Grand Prix,1
2016,wehrlein,Japanese Grand Prix,1
2015,rossi,Japanese Grand Prix,1
2016,ocon,Japanese Grand Prix,1
2015,stevens,Japanese Grand Prix,1
2015,merhi,Malaysian Grand Prix,1
2015,merhi,British Grand Prix,1
2015,stevens,British Grand Prix,1
2015,stevens,Spanish Grand Prix,2
2015,merhi,Spanish Grand Prix,2
2015,alonso,British Grand Prix,2
2015,alonso,Japanese Grand Prix,2
2016,button,Spanish Grand Prix,1
2016,button,British Grand Prix,2
2016,alonso,Brazilian Grand Prix,1
2016,button,Brazilian Grand Prix,1
2015,button,Japanese Grand Prix,1
2016,alonso,British Grand Prix,2
2016,alonso,Spanish Grand Prix,4
2015,alonso,Spanish Grand Prix,1
2015,button,Spanish Grand Prix,1
2016,button,Japanese Grand Prix,2
2015,alonso,Malaysian Grand Prix,2
2016,alonso,Japanese Grand Prix,1
2016,button,Malaysian Grand Prix,4
2015,button,Malaysian Grand Prix,2
2016,alonso,Malaysian Grand Prix,4
2016,hamilton,Japanese Grand Prix,1
2016,rosberg,Brazilian Grand Prix,1
2016,hamilton,Brazilian Grand Prix,1
2016,hamilton,Spanish Grand Prix,2
2016,rosberg,Spanish Grand Prix,2
2016,rosberg,Japanese Grand Prix,1
2015,rosberg,Spanish Grand Prix,2
2015,rosberg,Japanese Grand Prix,3
2015,hamilton,British Grand Prix,2
2015,hamilton,Japanese Grand Prix,2
2015,rosberg,British Grand Prix,2
2016,hamilton,Malaysian Grand Prix,2
2015,hamilton,Malaysian Grand Prix,1
2016,rosberg,Malaysian Grand Prix,4
2015,rosberg,Malaysian Grand Prix,1
2015,hamilton,Spanish Grand Prix,2
2016,rosberg,British Grand Prix,2
2016,hamilton,British Grand Prix,2
2016,ricciardo,Brazilian Grand Prix,1
2016,verstappen,Brazilian Grand Prix,1
2015,kvyat,Spanish Grand Prix,2
2015,ricciardo,Malaysian Grand Prix,2
2015,ricciardo,Spanish Grand Prix,2
2015,kvyat,Japanese Grand Prix,1
2015,kvyat,Malaysian Grand Prix,2
2016,verstappen,Japanese Grand Prix,1
2016,ricciardo,Japanese Grand Prix,1
2015,ricciardo,Japanese Grand Prix,3
2016,ricciardo,Malaysian Grand Prix,4
2016,verstappen,Malaysian Grand Prix,2
2016,ricciardo,British Grand Prix,2
2016,verstappen,British Grand Prix,2
2016,verstappen,Spanish Grand Prix,1
2016,ricciardo,Spanish Grand Prix,3
2015,ricciardo,British Grand Prix,2
2015,kvyat,British Grand Prix,2
2016,palmer,Spanish Grand Prix,4
2016,palmer,Malaysian Grand Prix,2
2016,magnussen,Brazilian Grand Prix,1
2016,palmer,British Grand Prix,1
2016,magnussen,Japanese Grand Prix,2
2016,magnussen,Malaysian Grand Prix,2
2016,palmer,Brazilian Grand Prix,1
2016,palmer,Japanese Grand Prix,3
2016,magnussen,British Grand Prix,2
2016,magnussen,Spanish Grand Prix,4
2016,nasr,Malaysian Grand Prix,3
2016,ericsson,Japanese Grand Prix,3
2016,nasr,British Grand Prix,2
2016,ericsson,Malaysian Grand Prix,2
2016,ericsson,Brazilian Grand Prix,1
2015,nasr,Spanish Grand Prix,2
2016,nasr,Brazilian Grand Prix,1
2016,nasr,Spanish Grand Prix,1
2016,ericsson,British Grand Prix,1
2016,ericsson,Spanish Grand Prix,2
2015,ericsson,British Grand Prix,2
2015,nasr,Malaysian Grand Prix,1
2016,nasr,Japanese Grand Prix,2
2015,ericsson,Spanish Grand Prix,2
2015,ericsson,Japanese Grand Prix,2
2015,ericsson,Malaysian Grand Prix,2
2015,nasr,Japanese Grand Prix,1
2016,sainz,British Grand Prix,2
2016,sainz,Malaysian Grand Prix,4
2016,kvyat,Malaysian Grand Prix,4
2015,verstappen,Spanish Grand Prix,2
2015,sainz,Malaysian Grand Prix,1
2015,verstappen,Japanese Grand Prix,1
2015,sainz,Japanese Grand Prix,3
2015,sainz,British Grand Prix,2
2015,verstappen,British Grand Prix,2
2015,verstappen,Malaysian Grand Prix,1
2016,kvyat,British Grand Prix,2
2016,sainz,Japanese Grand Prix,4
2016,sainz,Spanish Grand Prix,1
2016,kvyat,Brazilian Grand Prix,1
2015,sainz,Spanish Grand Prix,1
2016,kvyat,Spanish Grand Prix,1
2016,sainz,Brazilian Grand Prix,1
2016,kvyat,Japanese Grand Prix,1
2015,massa,Japanese Grand Prix,1
2015,massa,British Grand Prix,2
2015,massa,Spanish Grand Prix,2
2016,massa,Spanish Grand Prix,3
2016,massa,Brazilian Grand Prix,1
2016,bottas,Brazilian Grand Prix,1
2015,bottas,British Grand Prix,2
2015,bottas,Japanese Grand Prix,2
2015,massa,Malaysian Grand Prix,2
2015,bottas,Spanish Grand Prix,2
2016,massa,Japanese Grand Prix,3
2016,massa,British Grand Prix,2
2015,bottas,Malaysian Grand Prix,2
2016,bottas,British Grand Prix,2
2016,bottas,Spanish Grand Prix,1
2016,massa,Malaysian Grand Prix,1
2016,bottas,Japanese Grand Prix,3
2016,bottas,Malaysian Grand Prix,3
2016,vettel,Monaco Grand Prix,2
2015,raikkonen,Canadian Grand Prix,4
2015,vettel,Canadian Grand Prix,3
2016,raikkonen,Monaco Grand Prix,6
2016,raikkonen,Austrian Grand Prix,1
2015,raikkonen,Abu Dhabi Grand Prix,4
2015,vettel,Austrian Grand Prix,1
2015,vettel,Abu Dhabi Grand Prix,1
2016,raikkonen,Canadian Grand Prix,1
2016,vettel,Canadian Grand Prix,1
2016,vettel,Singapore Grand Prix,3
2016,raikkonen,Abu Dhabi Grand Prix,1
2016,vettel,Abu Dhabi Grand Prix,2
2015,raikkonen,Monaco Grand Prix,4
2015,raikkonen,Singapore Grand Prix,1
2015,vettel,Monaco Grand Prix,4
2016,raikkonen,Singapore Grand Prix,2
2015,raikkonen,Russian Grand Prix,2
2016,vettel,Austrian Grand Prix,4
2015,vettel,Singapore Grand Prix,1
2015,vettel,Russian Grand Prix,2
2015,hulkenberg,Abu Dhabi Grand Prix,4
2015,perez,Abu Dhabi Grand Prix,4
2015,perez,Canadian Grand Prix,2
2016,perez,Singapore Grand Prix,1
2016,hulkenberg,Singapore Grand Prix,3
2016,perez,Abu Dhabi Grand Prix,1
2015,perez,Singapore Grand Prix,2
2015,hulkenberg,Singapore Grand Prix,3
2015,perez,Austrian Grand Prix,3
2015,hulkenberg,Austrian Grand Prix,1
2016,hulkenberg,Monaco Grand Prix,2
2016,perez,Monaco Grand Prix,2
2016,hulkenberg,Austrian Grand Prix,3
2015,hulkenberg,Canadian Grand Prix,2
2016,hulkenberg,Abu Dhabi Grand Prix,1
2016,perez,Austrian Grand Prix,3
2015,hulkenberg,Monaco Grand Prix,3
2016,hulkenberg,Canadian Grand Prix,4
2016,perez,Canadian Grand Prix,1
2015,perez,Russian Grand Prix,1
2015,perez,Monaco Grand Prix,4
2016,gutierrez,Singapore Grand Prix,3
2016,grosjean,Abu Dhabi Grand Prix,4
2016,gutierrez,Abu Dhabi Grand Prix,1
2016,gutierrez,Monaco Grand Prix,3
2016,grosjean,Monaco Grand Prix,3
2016,grosjean,Austrian Grand Prix,1
2016,grosjean,Canadian Grand Prix,6
2016,gutierrez,Austrian Grand Prix,3
2016,gutierrez,Canadian Grand Prix,6
2015,maldonado,Singapore Grand Prix,1
2015,maldonado,Monaco Grand Prix,2
2015,grosjean,Singapore Grand Prix,2
2015,grosjean,Russian Grand Prix,4
2015,maldonado,Canadian Grand Prix,2
2015,grosjean,Austrian Grand Prix,4
2015,grosjean,Monaco Grand Prix,6
2015,maldonado,Austrian Grand Prix,3
2015,maldonado,Russian Grand Prix,3
2015,grosjean,Canadian Grand Prix,3
2015,grosjean,Abu Dhabi Grand Prix,1
2015,merhi,Monaco Grand Prix,1
2015,stevens,Monaco Grand Prix,1
2015,stevens,Canadian Grand Prix,1
2016,wehrlein,Canadian Grand Prix,4
2016,wehrlein,Monaco Grand Prix,4
2015,merhi,Russian Grand Prix,1
2015,stevens,Singapore Grand Prix,3
2015,rossi,Singapore Grand Prix,3
2016,haryanto,Monaco Grand Prix,5
2015,stevens,Russian Grand Prix,5
2015,merhi,Canadian Grand Prix,1
2015,merhi,Abu Dhabi Grand Prix,2
2016,wehrlein,Austrian Grand Prix,3
2016,haryanto,Austrian Grand Prix,5
2015,stevens,Abu Dhabi Grand Prix,2
2016,wehrlein,Singapore Grand Prix,4
2015,merhi,Austrian Grand Prix,1
2016,wehrlein,Abu Dhabi Grand Prix,1
2015,stevens,Austrian Grand Prix,4
2016,ocon,Abu Dhabi Grand Prix,4
2016,ocon,Singapore Grand Prix,3
2016,haryanto,Canadian Grand Prix,4
2015,button,Austrian Grand Prix,4
2015,button,Abu Dhabi Grand Prix,4
2016,button,Austrian Grand Prix,3
2016,button,Singapore Grand Prix,4
2016,alonso,Austrian Grand Prix,3
2015,alonso,Canadian Grand Prix,4
2016,button,Abu Dhabi Grand Prix,3
2015,button,Canadian Grand Prix,1
2015,alonso,Abu Dhabi Grand Prix,3
2016,alonso,Singapore Grand Prix,2
2016,alonso,Abu Dhabi Grand Prix,2
2016,alonso,Canadian Grand Prix,5
2016,button,Canadian Grand Prix,2
2015,button,Russian Grand Prix,1
2015,button,Singapore Grand Prix,3
2015,alonso,Singapore Grand Prix,3
2016,alonso,Monaco Grand Prix,1
2016,button,Monaco Grand Prix,1
2015,alonso,Russian Grand Prix,3
2015,button,Monaco Grand Prix,4
2015,alonso,Monaco Grand Prix,2
2016,rosberg,Monaco Grand Prix,3
2016,hamilton,Monaco Grand Prix,4
2016,hamilton,Austrian Grand Prix,2
