year,name,driverRef,Medium,Soft,Super Soft,Ultra soft,Hard
2017,Austrian Grand Prix,ricciardo,0,2,2,9,0
2017,Austrian Grand Prix,verstappen,0,2,2,9,0
2017,Austrian Grand Prix,vettel,0,1,5,7,0
2017,Austrian Grand Prix,raikkonen,0,2,4,7,0
2017,Austrian Grand Prix,perez,0,1,2,10,0
2017,Austrian Grand Prix,ocon,0,1,2,10,0
2017,Austrian Grand Prix,massa,0,2,3,8,0
2017,Austrian Grand Prix,stroll,0,1,4,8,0
2017,Austrian Grand Prix,alonso,0,1,2,10,0
2017,Austrian Grand Prix,vandoorne,0,1,2,10,0
2017,Austrian Grand Prix,sainz,0,2,3,8,0
2017,Austrian Grand Prix,kvyat,0,2,3,8,0
2017,Austrian Grand Prix,grosjean,0,1,5,7,0
2017,Austrian Grand Prix,magnussen,0,1,5,7,0
2017,Austrian Grand Prix,hulkenberg,0,2,3,8,0
2017,Austrian Grand Prix,palmer,0,2,3,8,0
2017,Austrian Grand Prix,wehrlein,0,3,3,7,0
2017,Austrian Grand Prix,ericsson,0,2,4,7,0
2017,Azerbaijan Grand Prix,hamilton,1,4,8,0,0
2017,Azerbaijan Grand Prix,bottas,1,4,8,0,0
2017,Azerbaijan Grand Prix,ricciardo,2,3,8,0,0
2017,Azerbaijan Grand Prix,verstappen,2,3,8,0,0
2017,Azerbaijan Grand Prix,vettel,1,4,8,0,0
2017,Azerbaijan Grand Prix,raikkonen,1,4,8,0,0
2017,Azerbaijan Grand Prix,perez,1,3,9,0,0
2017,Azerbaijan Grand Prix,ocon,1,3,9,0,0
2017,Azerbaijan Grand Prix,massa,2,3,8,0,0
2017,Azerbaijan Grand Prix,stroll,1,4,8,0,0
2017,Azerbaijan Grand Prix,alonso,1,2,10,0,0
2017,Azerbaijan Grand Prix,vandoorne,1,2,10,0,0
2017,Azerbaijan Grand Prix,sainz,1,3,9,0,0
2017,Azerbaijan Grand Prix,kvyat,1,3,9,0,0
2017,Azerbaijan Grand Prix,grosjean,1,4,8,0,0
2017,Azerbaijan Grand Prix,magnussen,1,4,8,0,0
