constructorId,grid,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,driverId,constructor_error_rate,circuit_error_rate,label
7,13,15,5.412,57,308.238,329.6,2,0.72,1205,10,0.146226415,0.028571429,1
4,10,15,5.412,57,308.238,329.6,2,0.72,1205,4,0.137096774,0.028571429,1
11,12,15,5.412,57,308.238,329.6,2,0.72,1205,22,0.141509434,0.028571429,0
10,18,15,5.412,57,308.238,329.6,2,0.72,1205,21,0.086614173,0.028571429,0
1,3,15,5.412,57,308.238,329.6,2,0.72,1205,1,0.155893536,0.028571429,0
5,15,15,5.412,57,308.238,329.6,2,0.72,1205,7,0.181415929,0.028571429,0
8,22,15,5.412,57,308.238,329.6,2,0.72,1205,11,0.282051282,0.028571429,0
9,17,15,5.412,57,308.238,329.6,2,0.72,1205,14,0.130612245,0.028571429,0
10,20,15,5.412,57,308.238,329.6,2,0.72,1205,16,0.086614173,0.028571429,0
4,14,15,5.412,57,308.238,329.6,2,0.72,1205,12,0.137096774,0.028571429,0
11,9,15,5.412,57,308.238,329.6,2,0.72,1205,18,0.141509434,0.028571429,0
5,19,15,5.412,57,308.238,329.6,2,0.72,1205,20,0.181415929,0.028571429,0
6,1,16,4.655,66,307.104,332,2,0.72,1310,8,0.072243346,0.069536424,1
6,3,16,4.655,66,307.104,332,2,0.72,1310,13,0.072243346,0.069536424,1
1,5,16,4.655,66,307.104,332,2,0.72,1310,1,0.155893536,0.069536424,1
2,4,16,4.655,66,307.104,332,2,0.72,1310,9,0.1,0.069536424,1
9,7,16,4.655,66,307.104,332,2,0.72,1310,17,0.130612245,0.069536424,1
11,13,16,4.655,66,307.104,332,2,0.72,1310,18,0.141509434,0.069536424,1
7,8,16,4.655,66,307.104,332,2,0.72,1310,15,0.146226415,0.069536424,1
2,9,16,4.655,66,307.104,332,2,0.72,1310,2,0.1,0.069536424,1
10,19,16,4.655,66,307.104,332,2,0.72,1310,21,0.086614173,0.069536424,1
7,14,16,4.655,66,307.104,332,2,0.72,1310,10,0.146226415,0.069536424,0
9,17,16,4.655,66,307.104,332,2,0.72,1310,14,0.130612245,0.069536424,0
8,22,16,4.655,66,307.104,332,2,0.72,1310,11,0.282051282,0.069536424,0
3,15,16,4.655,66,307.104,332,2,0.72,1310,3,0.131428571,0.069536424,0
4,2,16,4.655,66,307.104,332,2,0.72,1310,4,0.137096774,0.069536424,0
11,11,16,4.655,66,307.104,332,2,0.72,1310,22,0.141509434,0.069536424,0
1,6,16,4.655,66,307.104,332,2,0.72,1310,5,0.155893536,0.069536424,0
5,16,16,4.655,66,307.104,332,2,0.72,1310,7,0.181415929,0.069536424,0
4,10,16,4.655,66,307.104,332,2,0.72,1310,12,0.137096774,0.069536424,0
10,20,16,4.655,66,307.104,332,2,0.72,1310,16,0.086614173,0.069536424,0
5,18,16,4.655,66,307.104,332,2,0.72,1310,20,0.181415929,0.069536424,0
6,1,14,5.338,58,309.396,321.4,2,0.69,1200,13,0.072243346,0.032894737,1
1,3,14,5.338,58,309.396,321.4,2,0.69,1200,1,0.155893536,0.032894737,1
6,4,14,5.338,58,309.396,321.4,2,0.69,1200,8,0.072243346,0.032894737,1
2,5,14,5.338,58,309.396,321.4,2,0.69,1200,9,0.1,0.032894737,1
2,9,14,5.338,58,309.396,321.4,2,0.69,1200,2,0.1,0.032894737,1
4,7,14,5.338,58,309.396,321.4,2,0.69,1200,4,0.137096774,0.032894737,1
9,6,14,5.338,58,309.396,321.4,2,0.69,1200,17,0.130612245,0.032894737,1
3,11,14,5.338,58,309.396,321.4,2,0.69,1200,3,0.131428571,0.032894737,1
9,10,14,5.338,58,309.396,321.4,2,0.69,1200,14,0.130612245,0.032894737,1
7,8,14,5.338,58,309.396,321.4,2,0.69,1200,15,0.146226415,0.032894737,1
11,13,14,5.338,58,309.396,321.4,2,0.69,1200,18,0.141509434,0.032894737,0
