resultId,raceId,driverId,constructorId,grid,circuitId,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,label
151,25,15,7,4,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
152,25,5,1,10,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
153,25,9,2,5,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
154,25,17,9,6,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
155,25,12,4,9,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
156,25,4,4,3,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
157,25,14,9,7,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
158,25,1,1,13,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
159,25,10,7,8,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
160,25,20,5,12,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
161,25,2,2,11,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
162,25,22,11,20,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
164,25,3,3,19,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
165,25,7,5,14,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
166,25,21,10,17,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
167,25,16,10,18,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
168,25,18,11,16,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,0
169,26,1,1,4,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
170,26,2,2,5,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
171,26,22,11,16,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
172,26,8,6,3,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
173,26,5,1,1,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
174,26,4,4,6,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
175,26,15,7,14,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
177,26,3,3,20,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
178,26,17,9,2,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,1
179,26,7,5,13,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
180,26,10,7,12,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
181,26,13,6,9,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
182,26,9,2,10,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
183,26,18,11,17,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
184,26,12,4,7,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
185,26,21,10,19,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
186,26,16,10,18,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
187,26,20,5,8,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
188,26,14,9,11,9,18,5.891,52,306.332,329.5,2,0.7,1034,5,40,0
189,27,1,1,1,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
190,27,12,4,17,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
191,27,13,6,2,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
192,27,2,2,12,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
193,27,5,1,3,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
194,27,8,6,6,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
195,27,9,2,7,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
196,27,20,5,9,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
197,27,15,7,4,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
198,27,3,3,13,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,1
199,27,4,4,5,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
200,27,7,5,15,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
201,27,14,9,10,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
203,27,16,10,19,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
204,27,21,10,20,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
205,27,18,11,14,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
206,27,22,11,18,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
207,27,17,9,8,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
208,27,10,7,11,10,17,4.574,67,306.458,313,2,0.535,1240,3,40,0
209,28,5,1,2,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
210,28,10,7,5,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
211,28,8,6,6,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
212,28,4,4,7,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
213,28,1,1,1,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
214,28,12,4,10,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
215,28,15,7,9,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
216,28,9,2,4,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
217,28,17,9,8,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
218,28,2,2,15,11,14,4.381,70,306.67,315,2,0.5,908,5,28,1
219,28,14,9,13,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
220,28,18,11,12,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
222,28,3,3,14,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
223,28,21,10,18,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
224,28,22,11,17,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
225,28,13,6,3,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
226,28,7,5,19,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
227,28,16,10,20,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
228,28,20,5,11,11,14,4.381,70,306.67,315,2,0.5,908,5,28,0
229,29,13,6,1,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
230,29,1,1,2,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
231,29,9,2,3,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
232,29,5,1,5,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
233,29,15,7,7,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
234,29,20,5,6,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
235,29,10,7,13,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
236,29,3,3,9,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
237,29,2,2,8,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
238,29,7,5,10,12,25,5.419,57,308.883,318,2,0.63,930,3,64,1
239,29,12,4,15,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
240,29,17,9,14,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
241,29,18,11,16,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
242,29,21,10,18,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
244,29,22,11,19,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
245,29,14,9,17,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
246,29,8,6,4,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
247,29,16,10,20,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
248,29,4,4,12,12,25,5.419,57,308.883,318,2,0.63,930,3,64,0
249,30,13,6,2,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
250,30,2,2,5,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
251,30,1,1,1,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
252,30,4,4,6,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
253,30,20,5,10,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
254,30,9,2,8,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
255,30,7,5,9,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
256,30,17,9,7,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
257,30,10,7,13,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
258,30,5,1,3,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,1
259,30,14,9,14,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
260,30,3,3,15,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
261,30,16,10,18,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
263,30,18,11,17,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
264,30,15,7,11,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
265,30,21,10,20,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
266,30,8,6,4,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
267,30,22,11,16,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
268,30,12,4,12,13,19,7.004,44,308.052,319.6,2,0.7,2015,3,42,0
269,31,20,5,1,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
270,31,5,1,2,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
271,31,9,2,11,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
272,31,4,4,8,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
273,31,2,2,10,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
274,31,13,6,6,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
275,31,1,1,15,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
276,31,17,9,3,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
277,31,8,6,14,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
278,31,12,4,17,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,1
279,31,10,7,9,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
281,31,15,7,7,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
282,31,3,3,5,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
283,31,18,11,19,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
284,31,14,9,13,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
285,31,22,11,16,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
286,31,7,5,4,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
287,31,16,10,20,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
288,31,21,10,12,14,11,5.793,53,306.72,350,2,0.84,1520,1,36,0
289,32,4,4,15,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
290,32,3,3,8,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
291,32,1,1,2,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
292,32,10,7,7,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
293,32,20,5,6,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
294,32,2,2,9,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
295,32,14,9,14,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
297,32,18,11,12,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
298,32,5,1,5,15,23,5.065,61,308.965,323,3,0.49,832,,70,1
299,32,9,2,4,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
300,32,7,5,17,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
301,32,13,6,1,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
302,32,21,10,20,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
303,32,8,6,3,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
304,32,15,7,11,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
305,32,16,10,19,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
306,32,17,9,13,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
307,32,22,11,18,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
308,32,12,4,16,15,23,5.065,61,308.965,323,3,0.49,832,,70,0
309,33,4,4,4,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
310,33,9,2,6,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
311,33,8,6,2,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
312,33,12,4,12,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
313,33,15,7,7,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
314,33,20,5,9,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
315,33,13,6,5,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
316,33,17,9,13,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
317,33,2,2,16,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
318,33,7,5,10,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,1
319,33,3,3,15,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,0
320,33,1,1,1,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,0
321,33,22,11,17,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,0
322,33,18,11,18,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,0
324,33,21,10,20,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,0
325,33,5,1,3,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,0
326,33,16,10,19,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,0
328,33,14,9,11,16,16,4.563,67,305.416,310,0,0.6,1445,3,44,0
329,34,1,1,1,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
330,34,13,6,3,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
331,34,8,6,2,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
332,34,4,4,4,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
333,34,2,2,9,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
334,34,9,2,11,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
335,34,10,7,12,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
336,34,12,4,10,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
337,34,20,5,6,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
338,34,14,9,15,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,1
339,34,22,11,13,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
341,34,7,5,8,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
342,34,17,9,16,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
343,34,3,3,14,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
344,34,18,11,18,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
345,34,21,10,20,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
346,34,5,1,5,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
347,34,16,10,19,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
348,34,15,7,7,17,16,5.451,56,305.066,348,2,0.54,1397,5,51,0
349,35,13,6,1,18,15,4.309,71,305.909,310,2,0.5,1394,5,42,1
350,35,4,4,6,18,15,4.309,71,305.909,310,2,0.5,1394,5,42,1
351,35,8,6,3,18,15,4.309,71,305.909,310,2,0.5,1394,5,42,1
352,35,20,5,7,18,15,4.309,71,305.909,310,2,0.5,1394,5,42,1
353,35,1,1,4,18,15,4.309,71,305.909,310,2,0.5,1394,5,42,1
354,35,10,7,10,18,15,4.309,71,305.909,310,2,0.5,1394,5,42,1
355,35,5,1,5,18,15,4.309,71,305.909,310,2,0.5,1394,5,42,1
