driverId,constructorId,year,circuitId,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,prev_year_1_lap,prev_year_2_lap,prev_year_3_lap,prev_year_4_lap,fastestLapTime
8,6,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
5,1,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
2,2,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
15,7,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
3,3,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
18,11,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
4,4,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
17,9,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
22,11,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
10,7,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
12,4,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
7,5,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
6,3,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
14,9,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
21,10,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
20,5,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
16,10,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
19,8,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
11,8,2008,3,15,5.412,57,308.238,329.6,2,0.72,1205,2,56,97200,98300,97500,95100,96100
8,6,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
4,4,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
13,6,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
9,2,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
1,1,2008,4,16,4.655,66,307.104,332,2,0.72,1310,3,45,86300,82400,80900,83400,86900
