driverId,constructorId,circuitId,Medium_x,Soft_x,Super Soft_x,Ultra soft,Hard_x,grid,Super Soft_y,Soft_y,Medium_y,Hard_y,Ultra Soft,Recommended_pits,Wet,turns,race_laps,race_distance,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,clusters
817,9,7,0,4,2,7,0,4,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
826,5,7,0,2,4,7,0,15,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,6
815,10,7,0,4,3,6,0,11,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
4,1,7,0,3,4,6,0,10,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
18,1,7,0,3,4,6,0,12,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,2
828,15,7,0,2,5,6,0,21,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
836,209,7,0,3,4,6,0,17,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
837,209,7,0,3,4,6,0,19,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
154,210,7,0,3,0,10,0,14,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,6
1,131,7,0,1,4,8,0,1,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
20,6,7,0,1,3,9,0,2,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
8,6,7,0,1,3,9,0,4,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
822,131,7,0,2,3,8,0,3,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
13,3,7,0,2,4,7,0,7,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,2
817,9,7,0,1,5,7,0,6,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
826,5,7,0,2,3,8,0,11,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,6
815,10,7,0,2,3,8,0,8,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,1
4,1,7,0,1,2,10,0,12,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,5
828,15,7,0,2,4,7,0,19,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
836,15,7,0,3,3,7,0,20,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,4
154,210,7,0,1,5,7,0,14,1,1,0,0,1,3,0,14,70,305.27,0.76,1190,2,52,6
1,131,70,0,2,3,8,0,1,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
3,131,70,0,1,4,8,0,6,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
20,6,70,0,1,3,9,0,9,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,4
8,6,70,0,1,3,9,0,4,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
822,3,70,0,1,5,7,0,7,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
13,3,70,0,2,4,7,0,10,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
817,9,70,0,2,4,7,0,5,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
826,5,70,0,2,4,7,0,22,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,4
815,10,70,0,3,3,7,0,16,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
4,1,70,0,3,3,7,0,14,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
18,1,70,0,3,3,7,0,3,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
828,15,70,0,2,4,7,0,18,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
836,209,70,0,1,4,8,0,12,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
837,209,70,0,1,4,8,0,20,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,5
154,210,70,0,2,5,6,0,13,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
1,131,70,0,2,3,8,0,8,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
20,6,70,0,1,5,7,0,2,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,4
8,6,70,0,2,4,7,0,3,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
822,131,70,0,1,4,8,0,1,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
13,3,70,0,2,3,8,0,17,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
817,9,70,0,2,2,9,0,4,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
826,5,70,0,2,3,8,0,14,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,4
815,10,70,0,1,2,10,0,7,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
4,1,70,0,1,2,10,0,12,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
828,15,70,0,2,4,7,0,19,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,2
836,15,70,0,3,3,7,0,20,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,3
154,210,70,0,1,5,7,0,6,1,1,0,0,1,3,0,10,71,307.02,0.79,868,1,32,1
1,131,9,5,7,0,0,1,1,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
3,131,9,5,7,0,0,1,2,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
20,6,9,3,8,0,0,2,11,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
8,6,9,3,8,0,0,2,5,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
822,3,9,5,7,0,0,1,6,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
13,3,9,5,7,0,0,1,12,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
817,9,9,4,7,0,0,2,4,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
826,5,9,3,8,0,0,2,15,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
815,10,9,4,6,0,0,3,10,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
4,1,9,5,7,0,0,1,9,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
18,1,9,5,7,0,0,1,17,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,2
828,15,9,3,9,0,0,1,22,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,1
836,209,9,5,7,0,0,1,20,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,1
837,209,9,5,7,0,0,1,19,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,1
154,210,9,4,7,0,0,2,13,0,1,1,1,0,3,0,18,52,306.332,0.7,1034,3,40,1
1,131,9,1,6,6,0,0,1,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
20,6,9,1,3,9,0,0,3,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
8,6,9,1,3,9,0,0,2,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
822,131,9,2,5,6,0,0,9,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
13,3,9,1,5,7,0,0,14,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
817,9,9,1,4,8,0,0,19,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
826,5,9,1,2,10,0,0,12,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
815,10,9,2,4,7,0,0,6,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
4,1,9,1,2,10,0,0,20,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,2
828,15,9,1,5,7,0,0,18,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,1
836,15,9,1,5,7,0,0,17,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,1
154,210,9,2,4,7,0,0,10,1,1,1,0,0,3,0,18,52,306.332,0.7,1034,3,40,1
1,131,11,1,4,8,0,0,2,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
3,131,11,1,4,8,0,0,1,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
20,6,11,1,3,9,0,0,5,1,1,1,0,0,3,0,14,70,306.67,0.5,908,3,28,1
