driverId,constructorId,circuitId,Did not finish,Podium,Pos 4 to 10,Accident / Collision,SC,Dry,Wet,pitStop timing (avg),pitStop timing prop(driver),grid,driver_error_rate,constructor_error_rate,circuit_error_rate,race_class
20,6,4,0,0.67,0,0,0.33,1,0,21682.33333,0.051642082,2,0.010050251,0.072243346,0.069536424,1
20,6,6,0.33,0.33,0,0,1,0.67,0,25206,0.051642082,2,0.010050251,0.072243346,0.160535117,1
20,6,7,0,0.67,0.33,0,0.67,1,0,23215.33333,0.051642082,2,0.010050251,0.072243346,0.106382979,2
20,6,73,0,1,0,0,0,1,0,20422,0.051642082,4,0.010050251,0.072243346,0.024390244,2
20,6,70,0.67,0,0,0,0.67,1,0,0,0.051642082,2,0.010050251,0.072243346,0.023809524,1
20,6,9,0,0.33,0.67,0,1,0.33,0,28975,0.051642082,3,0.010050251,0.072243346,0.066225166,2
20,6,11,0,0.33,0.33,0,0.67,0.67,0,20088,0.051642082,1,0.010050251,0.072243346,0.043046358,1
20,6,13,0,0,0.67,0,0.67,1,0,22877.66667,0.051642082,2,0.010050251,0.072243346,0.103571429,1
20,6,14,0,0.67,0.33,0,0,1,0,24849.66667,0.051642082,6,0.010050251,0.072243346,0.043046358,1
20,6,15,0,0.67,0.33,0,1,1,0,29003,0.051642082,1,0.010050251,0.072243346,0.114678899,0
20,6,2,0.33,0.67,0,0.33,0.67,1,0,16759.33333,0.051642082,20,0.010050251,0.072243346,0.036184211,2
20,6,22,0,0.67,0,0,0.33,0.67,0.33,23153.33333,0.051642082,2,0.010050251,0.072243346,0.073359073,0
20,6,69,0,0.33,0.33,0,0.67,0.67,0,24087.33333,0.051642082,2,0.010050251,0.072243346,0.047619048,1
20,6,32,0.5,0,0.5,0.5,1,1,0,22095.5,0.051642082,1,0.010050251,0.072243346,0.048387097,2
20,6,18,0,0.33,0.67,0,0.33,0.67,0.33,23303.5,0.051642082,2,0.010050251,0.072243346,0.097643098,1
20,6,24,0,0.33,0.33,0,0,1,0,21750,0.051642082,3,0.010050251,0.072243346,0.045918367,1
8,6,1,0.33,0.33,0.33,0,0.67,1,0,22137,0.049454086,4,0.00896861,0.072243346,0.126245847,0
8,6,3,0,0.67,0,0,0.33,1,0,23574.33333,0.049454086,4,0.00896861,0.072243346,0.028571429,1
8,6,17,0,0.33,0.33,0,0.33,1,0,22069.33333,0.049454086,3,0.00896861,0.072243346,0.046357616,2
8,6,71,0,0,1,0,0.5,1,0,0,0.049454086,3,0.00896861,0.072243346,0.108433735,1
8,6,4,0,0.33,0.67,0,0,1,0,21566.66667,0.049454086,5,0.00896861,0.072243346,0.069536424,1
8,6,6,0,0,0.33,0,1,1,0,24651,0.049454086,11,0.00896861,0.072243346,0.160535117,0
8,6,7,0,0,0.33,0,0.33,1,0,24660.33333,0.049454086,6,0.00896861,0.072243346,0.106382979,2
8,6,70,0.5,0,0,0.5,0.5,1,0,10809,0.049454086,4,0.00896861,0.072243346,0.023809524,1
